"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Ошибка при отсутсвии одного поля","2","0","","0"
"0","","0","Ошибка при логине курьера","2","0","","0"
"0","","1","Принятие заказа","3","0","","0"
"0","","0","Получение заказа по номеру","2","0","","0"
"1","","0","Удаление курьера","1","0","","0"
"0","","0","Регистраия курьера при отсутсвии одного поля","2","0","","0"
"0","","0","Создание заказа","4","0","","0"
"1","","0","Список заказов","0","0","","0"
"0","","0","Получение заказа по несуществующему номеру","1","0","","0"
"0","","0","Регистраия курьера","1","0","","0"
"0","","0","Ошибка при удалении курьера","1","0","","0"
"0","","0","Логин курьера","1","0","","0"
"0","","1","Регистраия курьера с одинаковыми данными","0","0","","0"
